Date,Open,High,Low,Close,Volume
23-Feb-17,857.57,860.86,848.00,852.19,3461984
22-Feb-17,856.95,858.43,852.18,855.61,2616971
21-Feb-17,848.84,857.98,847.25,856.44,3507742
17-Feb-17,842.00,847.27,840.73,845.07,3112275
16-Feb-17,841.84,845.00,839.38,844.14,2714667
15-Feb-17,834.00,842.81,832.82,842.70,2968853
14-Feb-17,837.00,838.31,831.45,836.39,2792442
13-Feb-17,831.62,843.00,828.55,836.53,4172618
10-Feb-17,823.82,828.00,822.85,827.46,2429609
9-Feb-17,821.60,825.00,819.71,821.36,2484948
8-Feb-17,812.69,821.48,812.50,819.71,2857985
7-Feb-17,809.31,816.16,807.50,812.50,3466091
6-Feb-17,809.80,810.72,803.00,807.64,3897301
3-Feb-17,806.72,818.30,804.00,810.20,10868773
2-Feb-17,836.59,842.49,828.26,839.95,7350492
1-Feb-17,829.21,833.78,824.94,832.35,3850181
31-Jan-17,823.75,826.99,819.56,823.48,3137196
30-Jan-17,833.00,833.50,816.38,830.38,3747336
27-Jan-17,839.00,839.70,829.44,835.77,2998700
26-Jan-17,835.53,843.84,833.00,839.15,3586323
25-Jan-17,825.79,837.42,825.29,836.52,4023078
24-Jan-17,822.00,823.99,814.50,822.44,2971740
23-Jan-17,806.80,818.50,805.08,817.88,2797474
20-Jan-17,815.28,816.02,806.26,808.33,3376196
19-Jan-17,810.00,813.51,807.32,809.04,2540784
18-Jan-17,809.50,811.73,804.27,807.48,2354201
17-Jan-17,815.70,816.00,803.44,809.72,3670529
13-Jan-17,814.32,821.65,811.40,817.14,3791945
12-Jan-17,800.31,814.13,799.50,813.64,4873922
11-Jan-17,793.66,799.50,789.51,799.02,2992791
10-Jan-17,796.60,798.00,789.54,795.90,2558369
9-Jan-17,798.00,801.77,791.77,796.92,3446109
6-Jan-17,782.36,799.44,778.48,795.99,5986234
5-Jan-17,761.55,782.40,760.26,780.45,5830068
4-Jan-17,758.39,759.68,754.20,757.18,2510526
3-Jan-17,757.92,758.76,747.70,753.67,3521066
30-Dec-16,766.47,767.40,748.28,749.87,4139449
29-Dec-16,772.40,773.40,760.85,765.15,3158299
28-Dec-16,776.25,780.00,770.50,772.13,3301025
27-Dec-16,763.40,774.65,761.20,771.40,2638725
23-Dec-16,764.55,766.50,757.99,760.59,1981616
22-Dec-16,768.12,771.21,763.02,766.34,2543551
21-Dec-16,770.00,771.22,765.70,770.60,2044629
20-Dec-16,768.65,774.39,767.71,771.22,2703629
19-Dec-16,758.89,770.50,756.16,766.00,3113240
16-Dec-16,765.00,765.13,754.00,757.77,4848219
15-Dec-16,766.28,769.10,760.31,761.00,3801927
14-Dec-16,778.25,780.86,762.81,768.82,5454836
13-Dec-16,764.96,782.46,762.00,774.34,5285288
12-Dec-16,766.40,766.89,757.20,760.12,2963945
9-Dec-16,770.00,770.25,765.34,768.66,2470923
8-Dec-16,771.87,773.79,765.19,767.33,3189608
7-Dec-16,764.55,770.42,755.82,770.42,3684906
6-Dec-16,763.99,768.24,757.25,764.72,3794746
5-Dec-16,745.00,761.49,742.00,759.36,4314723
2-Dec-16,743.40,748.49,736.70,740.34,3561307
1-Dec-16,752.41,753.37,738.03,743.65,4665993
30-Nov-16,762.00,768.09,750.25,750.57,4625946
29-Nov-16,768.00,769.89,761.32,762.52,3272344
28-Nov-16,776.99,777.00,764.24,766.77,4438828
25-Nov-16,786.50,786.75,777.90,780.37,1837068
23-Nov-16,781.73,781.75,773.12,780.12,3540263
22-Nov-16,788.17,792.40,781.00,785.33,5311320
21-Nov-16,766.00,780.35,765.11,780.00,4614574
18-Nov-16,761.00,767.74,757.64,760.16,4373408
17-Nov-16,749.32,757.50,748.00,756.40,3651345
16-Nov-16,739.88,749.87,735.61,746.49,3648791
15-Nov-16,730.00,746.78,725.99,743.24,6755785
14-Nov-16,745.51,746.00,710.10,719.07,7321344
11-Nov-16,735.73,743.26,728.90,739.01,6622784
10-Nov-16,778.81,778.83,717.70,742.38,12746994
9-Nov-16,764.00,777.50,760.09,771.88,8562892
8-Nov-16,784.97,791.74,779.10,787.75,3412629
7-Nov-16,771.64,787.73,770.94,784.93,5984354
4-Nov-16,762.79,766.00,753.23,755.05,5122103
3-Nov-16,765.05,777.00,764.00,767.03,3872496
2-Nov-16,783.93,784.75,763.55,765.56,5026504
1-Nov-16,799.00,800.84,776.71,785.41,5305428
